Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_313,VGND,li1,150.1900,141.4400,0.000010
FILLER_47_290,VGND,li1,139.3800,141.4400,0.000009
FILLER_47_287,VGND,li1,138.2300,141.4400,0.000009
FILLER_47_284,VGND,li1,136.8500,141.4400,0.000009
FILLER_47_281,VGND,li1,135.4700,141.4400,0.000009
FILLER_47_279,VGND,li1,134.0900,141.4400,0.000009
FILLER_47_269,VGND,li1,129.7200,141.4400,0.000008
FILLER_47_240,VGND,li1,116.1500,141.4400,0.000006
FILLER_47_237,VGND,li1,115.2300,141.4400,0.000006
FILLER_47_234,VGND,li1,113.8500,141.4400,0.000006
FILLER_47_231,VGND,li1,112.4700,141.4400,0.000005
FILLER_47_228,VGND,li1,111.0900,141.4400,0.000005
FILLER_47_225,VGND,li1,109.7100,141.4400,0.000004
FILLER_47_221,VGND,li1,107.8700,141.4400,0.000004
FILLER_47_218,VGND,li1,106.4900,141.4400,0.000004
FILLER_47_212,VGND,li1,103.2700,141.4400,0.000004
FILLER_47_209,VGND,li1,102.3500,141.4400,0.000004
FILLER_47_206,VGND,li1,100.9700,141.4400,0.000004
FILLER_47_203,VGND,li1,99.5900,141.4400,0.000004
FILLER_47_181,VGND,li1,89.0100,141.4400,0.000006
FILLER_47_178,VGND,li1,88.0900,141.4400,0.000006
FILLER_47_175,VGND,li1,86.7100,141.4400,0.000006
FILLER_47_172,VGND,li1,85.3300,141.4400,0.000006
FILLER_47_169,VGND,li1,83.9500,141.4400,0.000006
FILLER_47_167,VGND,li1,82.5700,141.4400,0.000006
FILLER_47_152,VGND,li1,75.9000,141.4400,0.000006
FILLER_47_149,VGND,li1,74.7500,141.4400,0.000006
FILLER_47_146,VGND,li1,73.3700,141.4400,0.000006
FILLER_47_143,VGND,li1,71.9900,141.4400,0.000006
FILLER_47_140,VGND,li1,70.6100,141.4400,0.000006
FILLER_47_127,VGND,li1,64.1700,141.4400,0.000006
FILLER_47_124,VGND,li1,63.2500,141.4400,0.000006
FILLER_47_113,VGND,li1,57.7300,141.4400,0.000006
FILLER_47_109,VGND,li1,56.3500,141.4400,0.000006
FILLER_47_100,VGND,li1,51.7500,141.4400,0.000006
FILLER_47_97,VGND,li1,50.8300,141.4400,0.000006
FILLER_47_86,VGND,li1,45.3100,141.4400,0.000005
FILLER_47_83,VGND,li1,44.3900,141.4400,0.000005
FILLER_47_80,VGND,li1,43.0100,141.4400,0.000005
FILLER_47_77,VGND,li1,41.6300,141.4400,0.000005
FILLER_47_74,VGND,li1,40.2500,141.4400,0.000005
FILLER_47_63,VGND,li1,35.1900,141.4400,0.000005
FILLER_47_54,VGND,li1,30.8200,141.4400,0.000004
FILLER_47_51,VGND,li1,29.6700,141.4400,0.000004
FILLER_47_48,VGND,li1,28.2900,141.4400,0.000004
FILLER_47_45,VGND,li1,26.9100,141.4400,0.000004
FILLER_47_42,VGND,li1,25.5300,141.4400,0.000004
FILLER_47_39,VGND,li1,24.1500,141.4400,0.000003
FILLER_47_36,VGND,li1,22.7700,141.4400,0.000003
FILLER_47_33,VGND,li1,21.3900,141.4400,0.000003
FILLER_47_3,VGND,li1,7.3600,141.4400,0.000002
FILLER_46_317,VGND,li1,152.0300,136.0000,0.000039
FILLER_46_292,VGND,li1,140.5300,136.0000,0.000038
FILLER_46_289,VGND,li1,139.1500,136.0000,0.000038
FILLER_46_286,VGND,li1,137.7700,136.0000,0.000038
FILLER_46_283,VGND,li1,136.3900,136.0000,0.000038
FILLER_46_280,VGND,li1,135.0100,136.0000,0.000038
FILLER_46_277,VGND,li1,133.6300,136.0000,0.000038
FILLER_46_253,VGND,li1,122.5900,136.0000,0.000033
FILLER_46_250,VGND,li1,120.9800,136.0000,0.000032
FILLER_46_247,VGND,li1,119.8300,136.0000,0.000032
FILLER_46_244,VGND,li1,118.4500,136.0000,0.000029
FILLER_46_241,VGND,li1,117.0700,136.0000,0.000029
FILLER_46_238,VGND,li1,115.6900,136.0000,0.000027
FILLER_46_235,VGND,li1,114.3100,136.0000,0.000026
FILLER_46_232,VGND,li1,112.9300,136.0000,0.000026
FILLER_46_229,VGND,li1,111.5500,136.0000,0.000024
FILLER_46_206,VGND,li1,100.9700,136.0000,0.000019
FILLER_46_203,VGND,li1,99.5900,136.0000,0.000022
FILLER_46_200,VGND,li1,98.2100,136.0000,0.000022
FILLER_46_197,VGND,li1,96.8300,136.0000,0.000025
FILLER_46_180,VGND,li1,89.0100,136.0000,0.000030
FILLER_46_177,VGND,li1,87.6300,136.0000,0.000030
FILLER_46_174,VGND,li1,86.2500,136.0000,0.000031
FILLER_46_171,VGND,li1,84.8700,136.0000,0.000032
FILLER_46_168,VGND,li1,83.4900,136.0000,0.000032
FILLER_46_165,VGND,li1,82.1100,136.0000,0.000033
FILLER_46_159,VGND,li1,78.8900,136.0000,0.000034
FILLER_46_156,VGND,li1,77.9700,136.0000,0.000036
FILLER_46_153,VGND,li1,76.5900,136.0000,0.000036
FILLER_46_150,VGND,li1,75.2100,136.0000,0.000037
FILLER_46_147,VGND,li1,73.8300,136.0000,0.000038
FILLER_46_144,VGND,li1,72.4500,136.0000,0.000038
FILLER_46_141,VGND,li1,71.0700,136.0000,0.000039
FILLER_46_139,VGND,li1,69.6900,136.0000,0.000040
FILLER_46_136,VGND,li1,68.7700,136.0000,0.000040
FILLER_46_127,VGND,li1,64.1700,136.0000,0.000043
FILLER_46_111,VGND,li1,57.0400,136.0000,0.000043
FILLER_46_88,VGND,li1,46.6900,136.0000,0.000038
FILLER_46_85,VGND,li1,45.3100,136.0000,0.000036
FILLER_46_81,VGND,li1,43.4700,136.0000,0.000034
FILLER_46_78,VGND,li1,42.0900,136.0000,0.000034
FILLER_46_75,VGND,li1,40.7100,136.0000,0.000032
FILLER_46_72,VGND,li1,39.3300,136.0000,0.000032
FILLER_46_52,VGND,li1,29.6700,136.0000,0.000022
FILLER_46_49,VGND,li1,28.7500,136.0000,0.000020
FILLER_46_46,VGND,li1,27.3700,136.0000,0.000020
FILLER_46_43,VGND,li1,25.9900,136.0000,0.000018
FILLER_46_40,VGND,li1,24.6100,136.0000,0.000016
FILLER_46_37,VGND,li1,23.2300,136.0000,0.000016
FILLER_46_25,VGND,li1,17.7100,136.0000,0.000009
FILLER_46_22,VGND,li1,16.3300,136.0000,0.000009
FILLER_46_6,VGND,li1,8.5100,136.0000,0.000006
FILLER_46_3,VGND,li1,7.5900,136.0000,0.000006
FILLER_45_319,VGND,li1,152.4900,136.0000,0.000039
FILLER_45_316,VGND,li1,151.5700,136.0000,0.000039
FILLER_45_313,VGND,li1,150.1900,136.0000,0.000039
FILLER_45_289,VGND,li1,139.1500,136.0000,0.000038
FILLER_45_286,VGND,li1,137.7700,136.0000,0.000038
FILLER_45_278,VGND,li1,133.8600,136.0000,0.000038
