Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_318,VPWR,li1,152.2600,144.1600,1.799987
FILLER_48_315,VPWR,li1,151.1100,144.1600,1.799987
FILLER_48_312,VPWR,li1,149.7300,144.1600,1.799987
FILLER_48_309,VPWR,li1,148.3500,144.1600,1.799987
FILLER_48_294,VPWR,li1,140.9900,144.1600,1.799987
FILLER_48_291,VPWR,li1,140.0700,144.1600,1.799987
FILLER_48_288,VPWR,li1,138.6900,144.1600,1.799988
FILLER_48_285,VPWR,li1,137.3100,144.1600,1.799988
FILLER_48_282,VPWR,li1,135.9300,144.1600,1.799988
FILLER_48_279,VPWR,li1,134.5500,144.1600,1.799988
FILLER_48_270,VPWR,li1,129.9500,144.1600,1.799989
FILLER_48_267,VPWR,li1,129.0300,144.1600,1.799989
FILLER_48_264,VPWR,li1,127.6500,144.1600,1.799989
FILLER_48_253,VPWR,li1,122.5900,144.1600,1.799990
FILLER_48_234,VPWR,li1,113.8500,144.1600,1.799991
FILLER_48_203,VPWR,li1,99.3600,144.1600,1.799995
FILLER_48_197,VPWR,li1,96.3700,144.1600,1.799994
FILLER_48_193,VPWR,li1,94.9900,144.1600,1.799994
FILLER_48_182,VPWR,li1,89.9300,144.1600,1.799992
FILLER_48_179,VPWR,li1,88.5500,144.1600,1.799992
FILLER_48_176,VPWR,li1,87.1700,144.1600,1.799992
FILLER_48_147,VPWR,li1,73.8300,144.1600,1.799988
FILLER_48_144,VPWR,li1,72.4500,144.1600,1.799988
FILLER_48_141,VPWR,li1,71.0700,144.1600,1.799988
FILLER_48_139,VPWR,li1,69.6900,144.1600,1.799988
FILLER_48_120,VPWR,li1,60.9500,144.1600,1.799988
FILLER_48_117,VPWR,li1,60.0300,144.1600,1.799988
FILLER_48_114,VPWR,li1,58.6500,144.1600,1.799988
FILLER_48_111,VPWR,li1,57.2700,144.1600,1.799988
FILLER_48_108,VPWR,li1,55.8900,144.1600,1.799988
FILLER_48_105,VPWR,li1,54.5100,144.1600,1.799989
FILLER_48_102,VPWR,li1,53.1300,144.1600,1.799989
FILLER_48_85,VPWR,li1,45.3100,144.1600,1.799990
FILLER_48_83,VPWR,li1,43.9300,144.1600,1.799990
FILLER_48_80,VPWR,li1,43.0100,144.1600,1.799990
FILLER_48_77,VPWR,li1,41.6300,144.1600,1.799990
FILLER_48_74,VPWR,li1,40.2500,144.1600,1.799990
FILLER_48_71,VPWR,li1,38.8700,144.1600,1.799991
FILLER_48_47,VPWR,li1,27.8300,144.1600,1.799993
FILLER_48_44,VPWR,li1,26.4500,144.1600,1.799994
FILLER_48_41,VPWR,li1,25.0700,144.1600,1.799994
FILLER_48_38,VPWR,li1,23.6900,144.1600,1.799994
FILLER_48_35,VPWR,li1,22.3100,144.1600,1.799995
FILLER_48_32,VPWR,li1,20.9300,144.1600,1.799995
